"id","name","description","prompt","category","tag","tip","output","type","platform","view","image","save"
"13","Thought Leadership Messaging for Product Launch",,"""Our [insert brand name] is launching a new [insert product/service] in the [insert industry] industry, and we need to create messaging that appeals to [insert target audience]. We want to position ourselves as a thought leader in the industry while still being relatable and approachable. Can you suggest some language that conveys our industry expertise, brand personality, and unique product features?""","6","Thought Leadership, Promp, Product Launch","Review and refine the messaging generated by ChatGPT, using your own judgment and understanding of the brand's voice and target audience, to ensure that the messaging accurately represents the brand's values and resonates with the intended audience.",,"0","Gemini, ChatGPT, Claude","21915","6.png","520"
"14","Develop compelling language for product launch, positioning the brand as an industry authority.",,"""We need to create messaging for our [insert brand name] that positions us as an industry expert in [insert industry], while still being relatable and engaging to [insert target audience]. We want to highlight our brand's core values of [insert core values] while showcasing our industry knowledge and experience. Can you provide us with writing prompts that strike the right balance between industry expertise and approachability?""","6","Promp, Brand, Industry","Review and refine the messaging generated by ChatGPT, using your own judgment and understanding of the brand's voice and target audience, to ensure that the messaging accurately represents the brand's values and resonates with the intended audience.",,"0","Gemini, ChatGPT, Claude","18736","6.png","400"
"15","Balanced Expertise Messaging Assistance","Generate messaging balancing industry expertise and brand relatability for target audience engagement.","""Our [insert brand name] is undergoing a major brand overhaul, and we're looking to refresh our brand messaging to better align with our new direction. We want to convey our brand personality and values in a way that resonates with our [insert target audience] while still being attention-grabbing and memorable. Can you help us generate writing prompts that are both on-brand and innovative?""","6","Promp, Brand, Audience","Review and refine the messaging generated by ChatGPT, using your own judgment and understanding of the brand's voice and target audience, to ensure that the messaging accurately represents the brand's values and resonates with the intended audience.",,"0","Gemini, ChatGPT, Claude","4484","6.png","866"
"16","Hosting Media Events and Press Conferences","ChatGPT can assist with hosting media events and press conferences by generating sample press releases, preparing a list of potential questions from the media, drafting talking points, and creating a timeline for the event. Additionally, ChatGPT can sugge","ChatGPT can assist with hosting media events and press conferences by generating sample press releases, preparing a list of potential questions from the media, drafting talking points, and creating a timeline for the event. Additionally, ChatGPT can suggest creative and engaging event ideas, as well as strategies for capturing media attention and ensuring the event runs smoothly.","6","ChatGPT, Press, Media","Be specific about the event objective and target audience. This will help ChatGPT tailor its suggestions and generate more relevant content.",,"0","Gemini, ChatGPT, Claude","268951","6.png","2812"
"17","Unique Event Ideas for Brand Showcase","Generate creative event concepts ensuring brand visibility and media engagement.","""As we plan our upcoming press conference, we want to make sure that it's a unique and memorable experience that will showcase our brand and engage the media. Our company specializes in [insert industry or product/service category]. Can you provide some creative event ideas that will [insert event objective], and also ensure that our message is effectively communicated to the media and our audience?""","6","Unique, Brand Showcase, Press Conference","Use clear and concise language to help ChatGPT understand the message and tone you want to convey.",,"0","Gemini, ChatGPT, Claude","18928","6.png","725"
"18","Strategies for Media Event Success","Strategize to capture media attention and handle inquiries effectively.","""We're planning a media event for our [insert company/organization name], which is focused on [insert event objective]. We want to ensure that the event runs smoothly and that we make a strong impression on the media. Can you provide some strategies for [insert task, e.g., capturing media attention, preparing spokespeople, handling potential questions from the media, etc.]?""","6","Media Event, Strategies, Spokespeople","Provide background information about your company and the industry to help ChatGPT generate more informed and effective ideas.",,"0","Gemini, ChatGPT, Claude","13472","6.png","687"
"19","Handling Media Questions Effectively","Prepare responses to potential media inquiries reinforcing key messages.","""We're preparing for a press conference to announce our [insert company/organization name] and we want to make sure that we're well-prepared to handle any questions or concerns that the media might have. Can you provide a list of potential questions that we might be asked, and also help us prepare effective responses that will reinforce our key message?""","6","Promp, Handling Media Questions, Effective Responses","Provide background information about your company and the industry to help ChatGPT generate more informed and effective ideas.",,"0","Gemini, ChatGPT, Claude","39223","6.png","148"
"20","Effective Response Preparation for Media Queries","Equip for media queries, strengthening message delivery at press conferences.","""We're preparing for a press conference to announce our [insert company/organization name] and we want to make sure that we're well-prepared to handle any questions or concerns that the media might have. Can you provide a list of potential questions that we might be asked, and also help us prepare effective responses that will reinforce our key message?""","6","Media Queries, Press Conference, Effective Response","Provide background information about your company and the industry to help ChatGPT generate more informed and effective ideas.",,"0","Gemini, ChatGPT, Claude","30736","6.png","111"
"21","Analyzing PR Engagement Metrics","ChatGPT can assist in analyzing PR engagement metrics by utilizing its natural language processing capabilities to understand and interpret the language used in the PR materials. By inputting relevant data such as press releases, social media posts, and o","""Can you provide a comprehensive analysis of our [specific PR material or channel] performance, including [specific metrics and KPIs] and recommendations for improving our [specific PR strategy, such as content creation or influencer outreach] to better resonate with our [specific target audience or market] and achieve our [specific business objectives]? Specific data: [provide specific data about the issue]""","6","ChatGPT, PR, Metrics","Provide specific examples of the PR materials you want to analyze, such as press releases, social media posts, or email newsletters.",,"0","Gemini, ChatGPT, Claude","125093","6.png","3545"
"22","Leveraging PR Engagement Insights","Utilize PR engagement data to achieve specific business goals effectively.","""What specific insights can you provide about our [specific PR material or channel] engagement metrics in relation to [specific time period, audience segment, or marketing campaign], and how can we leverage that information to [specific business goal, such as increasing sales or building customer loyalty]? Specific data: [provide specific data about the issue]""","6","PR Engagement Insights, Leverage, Specific Business Goals","Clearly define the metrics you want to improve and what success looks like for your PR efforts.",,"0","Gemini, ChatGPT, Claude","13345","6.png","754"
"23","Optimizing Metrics through Content Strategy","Recommend content strategies based on metrics analysis to enhance reach.","""Based on an analysis of our [specific metric, such as click-through rates or social media engagement] across [specific channels or audience segments], can you recommend [specific content strategy, such as A/B testing or influencer partnerships] to optimize our [specific metric] and better reach our [specific target audience or marketing objectives]? Specific data: [provide specific data about the issue]""","6","Content Strategy, Metrics Analysis, A/B Testing","Consider incorporating external data sources, such as competitor analysis or industry benchmarks, to provide context for your PR performance.",,"0","Gemini, ChatGPT, Claude","15836","6.png","330"
"24","Tailoring PR Strategies to Emerging Trends","Customize PR strategies to industry trends, achieving specific goals with precision.","""What emerging trends or industry innovations should we be aware of when developing our [specific PR strategy, such as crisis management or influencer marketing], and how can we tailor those strategies to fit our [specific business or industry] and achieve our [specific PR goals]? Specific data: [provide specific data about the issue]""","6","PR Strategies, Emerging Trends, Tailored","Consider incorporating external data sources, such as competitor analysis or industry benchmarks, to provide context for your PR performance.",,"0","Gemini, ChatGPT, Claude","16837","6.png","603"
"25","Adopting Effective PR Tactics for ROI Maximization","Learn from successful industry tactics to optimize PR strategies for maximum ROI.","""What are the most effective tactics and strategies [specific businesses or industries] are using to improve their [specific PR metric, such as engagement rates or media coverage], and how can we adopt those practices while avoiding [specific challenges or pitfalls, such as audience fatigue or PR crises] to optimize our [specific PR strategy or goal] and maximize our ROI? Specific data: [provide specific data about the issue]""","6","PR Tactics, ROI Maximization, Audience Fatigue","Consider incorporating external data sources, such as competitor analysis or industry benchmarks, to provide context for your PR performance.",,"0","Gemini, ChatGPT, Claude","24682","6.png","617"
"26","Developing Content For Company Blogs","If you're looking to develop content for your company blog, ChatGPT can be a valuable tool to help generate ideas, research topics, and even assist with writing. ChatGPT uses natural language processing to understand the context of your questions and gene","""We are looking to write about [topic/industry/niche] on our company blog, but we want to take a unique angle. Can you suggest some [adjective] [subtopics] related to [main topic] that we could explore in our blog post?""","6","ChatGPT, Company Blog, Unique Angle","Provide specific prompts and topics to ChatGPT for more targeted and relevant responses.",,"0","Gemini, ChatGPT, Claude","107109","6.png","4416"
"27","Memorable Press Conference Planning","Strategize engaging events to showcase brand essence and captivate media.","""We want to stay up-to-date with the latest [industry/niche/topic] trends, but we're not sure where to start. Can you provide some [adjective] [statistics/research] on [topic] that we could use for our next company blog post?""","6","Memorable, Press Conference, Captivate","When using ChatGPT to generate a first draft, be sure to review and edit the content to ensure it aligns with your brand's tone and voice.",,"0","Gemini, ChatGPT, Claude","37758","6.png","106"
"28","Media Event Excellence Strategies","Ensure impactful media events with effective strategies for smooth execution.","""We want to write a blog post on [topic] that is both informative and engaging for our readers. Can you suggest some [adjective] [angles/perspectives] we could take on the subject?""","6","Media Event Excellence, Impactful Media Events, Strategies","Use ChatGPT's responses as a starting point and add your own personal touch and expertise to create original and high-quality content for your company blog.",,"0","Gemini, ChatGPT, Claude","35290","6.png","423"
"29","Media Q&A Preparation Assistance","Prepare comprehensive responses for potential press conference inquiries, reinforcing key messages.","""We have a specific topic in mind for our next company blog post, but we need some [adjective] [examples/research] to support our claims. Can you provide us with some [specific information] on [topic]?""","6","Media Q&A, Promp, Blog Post","Use ChatGPT's responses as a starting point and add your own personal touch and expertise to create original and high-quality content for your company blog.",,"0","Gemini, ChatGPT, Claude","672","6.png","21"
"30","Preparing for Media Interactions","Equip for press conference success with preparedness for media queries and concerns.","""We've been consistently posting on our company blog, but we're not seeing much traffic. Can you provide us with some [adjective] [marketing/promotion] strategies to increase readership and engagement?""","6","Press conference, Marketing strategies, Readership","Use ChatGPT's responses as a starting point and add your own personal touch and expertise to create original and high-quality content for your company blog.",,"0","Gemini, ChatGPT, Claude","24645","6.png","562"
"31","Conducting Media Interviews and Features","ChatGPT can be a helpful tool for conducting media interviews and features. It can assist in generating interview questions, providing background information on a topic, suggesting talking points, and even crafting catchy headlines. With its natural langu","""I'm working on a media feature about [topic], and I need some specific data points to support my article. Could you provide me with [number] of [specific data] and maybe some [interesting comparison or trend] related to [topic]?""","6","ChatGPT, Media Interviews, Feature Articles","Be specific about the topic or industry you want to focus on to help ChatGPT narrow down its responses and provide more relevant information.",,"0","Gemini, ChatGPT, Claude","296067","6.png","2714"
"32","Leveraging PR Metrics for Business Goals","Content Strategy Recommendations for Optimization","""As I prepare for an interview on [topic], I want to ensure that my questions are tailored to my interviewee's experience. Could you suggest some [specific question or topic] related to [interviewee's role or expertise], and some [related subtopic or follow-up question] to explore?""","6","PR Metrics, Content Strategy, Interview Questions","Use open-ended questions to allow for more diverse and creative responses from ChatGPT.",,"0","Gemini, ChatGPT, Claude","6444","6.png","850"
"33","Optimize PR metrics through tailored content strategies, maximizing audience reach.","Optimize PR metrics through tailored content strategies, maximizing audience reach.","""I'm writing a feature on [topic] and want to include some relevant quotes from experts in the field. Could you suggest some [specific expert or organization] who would be relevant and some [potential quote or opinion] they might have on [related subtopic]?""","6","PR, Tailored Content, Audience Reach","Consider asking ChatGPT to provide examples or case studies to support its responses, as this can add more depth and credibility to your media interviews and features.",,"0","Gemini, ChatGPT, Claude","17098","6.png","98"
"34","Tailoring PR Strategies to Industry Trends","Adapt PR strategies to industry innovations, aligning with business goals for optimal outcomes.","""I'm working on a media feature about [industry/field], and I want to make sure that it covers the historical context and its evolution over time. Could you provide me with some [specific milestone or event] in the history of [industry/field], and maybe some [interesting comparison or trend] related to [topic]?""","6","Industry Trends, Historical Context, Media Feature","Consider asking ChatGPT to provide examples or case studies to support its responses, as this can add more depth and credibility to your media interviews and features.",,"0","Gemini, ChatGPT, Claude","6000","6.png","47"
"35","Maximizing ROI through Effective PR Tactics","Drive PR success by adopting industry-proven tactics, optimizing strategies for maximum ROI.","""I'm trying to find some unique angles for my media feature on [topic], could you suggest some [specific demographic, event, or factor] that could be related to [topic] and some [potential interviewee or expert] that can provide insight on it?""","6","PR Tactics, ROI, Experts","Consider asking ChatGPT to provide examples or case studies to support its responses, as this can add more depth and credibility to your media interviews and features.",,"0","Gemini, ChatGPT, Claude","5360","6.png","435"
"36","Crafting Guest Blog Post Pitches","Crafting guest blog post pitches can be a time-consuming and challenging task. With ChatGPT, you can generate ideas for your guest blog post pitches by providing specific details such as your target audience, the blog's topic, and the angle you want to ta","""What are some unique angles I can take when writing a guest blog post for [blog name] on [topic], specifically focusing on [specific aspect] and addressing [specific problem] for [target audience] who [specific behavior or characteristic] and are interested in [specific interest]?""","6","ChatGPT, Guest Blog, Topic","Be specific: Providing clear and specific details about the blog, target audience, topic, and angle will help ChatGPT generate more relevant and useful suggestions.",,"0","Gemini, ChatGPT, Claude","149916","6.png","3137"
"37","Tailored Guest Blog Outline",,"""Can you provide me with an outline for a guest blog post on [topic] that aligns with [blog name]'s style and tone, specifically including [specific section or point] and [specific section or point], and addressing [specific problem or challenge] for [target audience] who are [specific characteristic or interest] and want to [specific goal] while [specific challenge]?""","6","Tailored, Guest Blog, Promp","Provide examples: Providing examples of guest blog posts from the blog you're targeting or from similar blogs can help ChatGPT understand the style, tone, and format that you need to follow.",,"0","Gemini, ChatGPT, Claude","23558","6.png","195"
"38","Preferred Guest Blog Formats","Explore popular guest blog formats favored by [blog name], tailored to [topic] and addressing [specific problem] for [target audience].","""What are some popular guest blog post formats that [blog name] prefers for [topic], specifically [specific format or element], and addressing [specific problem or challenge] for [target audience] who are [specific characteristic or interest] and want to [specific goal] while [specific challenge]?""","6","Guest Blogging, Blog Formats, Target Audience","Be open to revisions: The first suggestions that ChatGPT generates may not always be perfect, so be open to making revisions and tweaking the suggestions to fit your needs better.",,"0","Gemini, ChatGPT, Claude","34422","6.png","522"
"39","SEO-Friendly Guest Blog Keywords","Optimize guest blog SEO with targeted keywords for [topic], attracting [target audience] seeking [specific goal] amidst [specific challenge].","""Can you suggest any specific keywords or phrases to include in a guest blog post about [topic] for SEO purposes, specifically targeting [target audience] who are interested in [specific interest], searching for [specific keyword or phrase], and want to [specific goal] while [specific challenge]?""","6","SEO, Guest Blogging, Target Audience","Be open to revisions: The first suggestions that ChatGPT generates may not always be perfect, so be open to making revisions and tweaking the suggestions to fit your needs better.",,"0","Gemini, ChatGPT, Claude","24729","6.png","397"
"40","Compelling Headlines Based on Data","Craft attention-grabbing headlines backed by data for guest blogs on [topic], appealing to [target audience] aiming for [specific goal] despite [specific challenge].","""Based on [specific data or statistics], can you suggest some compelling headlines for a guest blog post about [topic] that appeals to [target audience] who are interested in [specific interest] and want to [specific goal] while [specific challenge]?""","6","Headlines, Guest blogs, [Topic]","Be open to revisions: The first suggestions that ChatGPT generates may not always be perfect, so be open to making revisions and tweaking the suggestions to fit your needs better.",,"0","Gemini, ChatGPT, Claude","12946","6.png","574"
"41","Creating Social Media Strategies for PR","ChatGPT can be a powerful tool to help with the task of creating social media strategies for PR. As a language model trained on a vast corpus of text, ChatGPT is capable of generating high-quality content that can be used as inspiration for your social me","""Can you suggest some unique social media strategies for [Brand Name] to enhance its PR, given that our target audience is [Target Audience] and our goal is to [Goal]?""","6","ChatGPT, Social Media, PR","Provide ChatGPT with specific details about your brand, target audience, and goals for your social media strategy in order to receive the most relevant and useful insights.",,"0","Gemini, ChatGPT, Claude","210020","6.png","3706"
"42","Tailoring Social Media for PR","Personalize social media content to engage [Demographic] [Gender] [Age Range] for PR, enhancing [Brand Name]'s [Objective].","""What are some effective ways to tailor social media content to appeal to [Demographic] [Gender] [Age Range] for PR purposes, in order to [Objective]?""","6","Tailoring, Social Media, PR","Be sure to review the content generated by ChatGPT carefully and make necessary edits and adjustments to ensure it aligns with your brand's tone and voice.",,"0","Gemini, ChatGPT, Claude","14436","6.png","673"
"43","Leveraging Social Media Influencers","Harness social media influencers, particularly [Type of Influencer], to amplify PR efforts and achieve [Brand Name]'s [Objective].","""How can I utilize social media influencers in my PR strategy for [Brand Name], particularly [Type of Influencer] influencers, in order to [Objective]?""","6","Brand Name, Influencer Marketing, Social Media","Don't rely solely on ChatGPT to create your entire social media strategy. Use its suggestions and ideas as a starting point, but also incorporate your own creativity and insights to make it truly unique and effective.",,"0","Gemini, ChatGPT, Claude","23180","6.png","853"
"44","Measuring Social Media Campaign Success","Gauge PR success through social media metrics like [Metric 1], [Metric 2], and [Metric 3], optimizing strategy for [Brand Name].","""Can you provide some tips for measuring the success of social media campaigns for PR, using metrics such as [Metric 1], [Metric 2], and [Metric 3], and how can we adjust our strategy based on these metrics?""","6","Social Media, PR, Metrics","Don't rely solely on ChatGPT to create your entire social media strategy. Use its suggestions and ideas as a starting point, but also incorporate your own creativity and insights to make it truly unique and effective.",,"0","Gemini, ChatGPT, Claude","31199","6.png","196"
"45","Crisis Management on Social Media","Navigate PR crises effectively on social media, addressing [Type of Crisis], and fostering audience communication to uphold [Brand Name]'s [Goal].","""What are some best practices for crisis management on social media for PR purposes, specifically for [Type of Crisis], and how can we communicate effectively with our audience during these times to [Goal]?""","6","PR, Crisis Management, Social Media","Don't rely solely on ChatGPT to create your entire social media strategy. Use its suggestions and ideas as a starting point, but also incorporate your own creativity and insights to make it truly unique and effective.",,"0","Gemini, ChatGPT, Claude","20985","6.png","236"
"46","Creating Product Placement Opportunities","ChatGPT can be a helpful tool in creating product placement opportunities by generating ideas for product placements in various contexts. It can provide suggestions for products that fit well with a particular storyline, character, or setting. Additionall","""Based on the [theme/genre] of my project, can you suggest some [product category] that would be a good fit for a [context/setting] scene that features [specific character/characters]?""","6","ChatGPT, Product Placement, Context","Provide specific details about the context, such as the setting, characters, and tone of the scene. This will help ChatGPT generate ideas that fit the scene naturally.",,"0","Gemini, ChatGPT, Claude","279444","6.png","4376"
"47","Creative Product Integration Inquiry","Seek innovative ways to incorporate [product] into scenes while maintaining project tone.","""How can I creatively integrate [product] into a [type of scene] that showcases [specific theme/element] while maintaining the [mood/tone] of my project?""","6","Product, Scene, Mood","Use language that matches the style and tone of your project. If your content is comedic, for example, try to use language that is playful and humorous.",,"0","Gemini, ChatGPT, Claude","24264","6.png","455"
"48","Engaging Product Promotion Assistance","Devise natural ways to promote [product] to [target audience] in scenes featuring [specific character/characters].","""Can you help me come up with an engaging and natural way to promote [product] that appeals to my [target audience] in a [type of scene] with [specific character/characters]?""","6","Promotion, Target Audience, Product","Be open to unexpected suggestions. ChatGPT may provide ideas that you hadn't considered before, so be willing to explore different options and consider new perspectives.",,"0","Gemini, ChatGPT, Claude","37420","6.png","834"
"49","Effective Product Integration Strategies","Explore strategies to highlight [product] benefits in scenes, aligning with project style.","""What are some effective ways to incorporate [product] into a [specific context/setting] that highlights its features and benefits, while fitting in with the overall [style/mood] of my project?""","6","Product, Integration, Strategies","Be open to unexpected suggestions. ChatGPT may provide ideas that you hadn't considered before, so be willing to explore different options and consider new perspectives.",,"0","Gemini, ChatGPT, Claude","29741","6.png","92"
"50","Showcasing Product in Project Context","Generate ideas to showcase [product] in scenes capturing project essence and resonating with [target audience].","""Can you provide some ideas on how to showcase [product] in a [type of scene] that captures the [essence/tone] of my project, while also resonating with my [target audience] and staying true to the [storyline/plot]?""","6","Showcase, Target audience, Storyline","Be open to unexpected suggestions. ChatGPT may provide ideas that you hadn't considered before, so be willing to explore different options and consider new perspectives.",,"0","Gemini, ChatGPT, Claude","8824","6.png","396"
"51","Developing Influencer Partnership Strategies","ChatGPT can assist in developing influencer partnership strategies by providing insights on best practices and case studies from successful influencer campaigns. By leveraging its vast database and natural language processing capabilities, ChatGPT can gen","""What [types of content/promotions/activities] would be most effective to [promote/showcase/introduce] [product/service] through [influencer/social media] partnerships in [industry/niche]?""","6","Influencer, ChatGPT, Promotion","Provide specific details about your target audience and goals to help ChatGPT generate more relevant ideas and strategies.",,"0","Gemini, ChatGPT, Claude","107780","6.png","4617"
"52","Influencer Selection for Partnership Campaigns","Identify key influencer characteristics for partnership campaigns promoting [product/service] in [industry/niche].","""What are the key [demographic/psychographic/geographic] characteristics to consider when selecting [micro/macro/celebrity] influencers for a [long-term/short-term/seasonal] partnership campaign promoting [product/service] in [industry/niche]?""","6","Partnership Campaigns, Influencer Selection, Demographic Characteristics","Use a mix of micro and macro-influencers to reach a wider audience and generate more authentic engagement.",,"0","Gemini, ChatGPT, Claude","5003","6.png","158"
"53","Measuring Influencer Engagement Success","Explore methods to measure influencer engagement and success in campaigns promoting [product/service] in [industry/niche].","""How can [influencer/brand/follower] engagement be measured and [quantified/qualified/analyzed] to evaluate the success of an influencer campaign promoting [product/service] in [industry/niche], and what [KPIs/metrics/analytics] should be [tracked/monitored/optimized]?""","6","Influencer Engagement, Campaign Success, KPI Tracking","Consider leveraging user-generated content and engaging with your influencer's followers to boost brand awareness and credibility.",,"0","Gemini, ChatGPT, Claude","30708","6.png","387"
"54","Innovative Influencer Partnership Strategies","Develop unconventional strategies to engage [target audience] for [product/service] in [industry/niche] through influencer partnerships.","""What are some [innovative/creative/unconventional] approaches to developing influencer partnership strategies that [stand out/engage/convert] [target audience/followers/customers] for [product/service] in [industry/niche], and how can [risk/mitigation/optimization] be managed?""","6","Influencer Partnership, Innovative Strategies, Target Audience","Consider leveraging user-generated content and engaging with your influencer's followers to boost brand awareness and credibility.",,"0","Gemini, ChatGPT, Claude","722","6.png","109"
"55","Ethical Considerations in Influencer Campaigns","Explore ethical considerations in influencer campaigns, ensuring transparency and integrity for [product/service] in [industry/niche].","""What are the [ethical/legal/moral] considerations to be aware of when developing influencer partnership strategies for [product/service] in [industry/niche], and how can [transparency/integrity/sustainability] be maintained throughout the campaign?""","6","Influencer, Transparency, Integrity","Consider leveraging user-generated content and engaging with your influencer's followers to boost brand awareness and credibility.",,"0","Gemini, ChatGPT, Claude","36417","6.png","611"
"56","Creating Compelling Story Angles","ChatGPT can be a useful tool in creating compelling story angles. With its vast knowledge base and language generation abilities, ChatGPT can provide insights, ideas, and angles that can help you develop a story that captures your readers' attention. To g","""What are some interesting angles to explore in a story about [specific topic or event], taking into account the perspectives of [target audience], and how it relates to [specific issue or trend]?""","6","ChatGPT, Story Angles, Target Audience","Provide as many details as possible about your topic, target audience, purpose of the story, and key themes, to help ChatGPT generate more relevant and compelling story angles.",,"0","Gemini, ChatGPT, Claude","173178","6.png","2472"
"57","Unique Story Angles for Specific Topics","Generate unique story angles for articles incorporating specific research, tailored to impact specific audiences.","""Can you suggest some unique story angles for my article on [specific topic], that incorporate [specific research or data], and consider the impact on [specific audience or community]?""","6","Unique, Research, Audience","Experiment with different prompts and variations of questions to get a variety of story angles and perspectives.",,"0","Gemini, ChatGPT, Claude","86","6.png","358"
"58","Compelling Story Angle Creation","Craft compelling story angles for industry stories, considering challenges and innovations, appealing to specific reader demographics.","""How can I create a compelling angle for my story about [specific industry] that takes into account [specific challenges or innovations], and appeals to [specific reader demographic]?""","6","Compelling Angles, Industry Stories, Reader Demographics","Use ChatGPT-generated ideas as a starting point, and refine them by adding your own voice, research, and creative flair to create a unique and compelling story angle.",,"0","Gemini, ChatGPT, Claude","28880","6.png","794"
